,temporal_frequency,orientation,blank_sweep,start,end
161,4.0,315.0,0.0,15286,15345
162,4.0,0.0,0.0,15376,15436
163,4.0,135.0,0.0,15466,15526
164,15.0,225.0,0.0,15557,15616
165,,,1.0,15647,15707
166,15.0,0.0,0.0,15737,15797
167,8.0,180.0,0.0,15827,15887
168,15.0,0.0,0.0,15918,15977
169,15.0,180.0,0.0,16008,16068
170,1.0,90.0,0.0,16098,16158
171,2.0,0.0,0.0,16189,16248
172,1.0,135.0,0.0,16279,16339
173,4.0,0.0,0.0,16369,16429
174,4.0,315.0,0.0,16460,16519
175,8.0,0.0,0.0,16550,16610
176,8.0,180.0,0.0,16640,16700
177,,,1.0,16731,16790
178,15.0,270.0,0.0,16821,16881
179,4.0,0.0,0.0,16911,16971
180,8.0,45.0,0.0,17002,17061
181,1.0,135.0,0.0,17092,17152
182,2.0,315.0,0.0,17182,17242
183,,,1.0,17273,17332
184,1.0,45.0,0.0,17363,17423
185,1.0,180.0,0.0,17453,17513
186,4.0,135.0,0.0,17543,17603
187,1.0,180.0,0.0,17634,17694
188,1.0,315.0,0.0,17724,17784
189,4.0,225.0,0.0,17814,17874
190,8.0,135.0,0.0,17905,17964
191,1.0,225.0,0.0,17995,18055
192,1.0,135.0,0.0,18085,18145
193,1.0,225.0,0.0,18176,18235
194,8.0,270.0,0.0,18266,18326
195,1.0,135.0,0.0,18356,18416
196,8.0,270.0,0.0,18447,18506
197,8.0,270.0,0.0,18537,18597
198,15.0,180.0,0.0,18627,18687
199,4.0,45.0,0.0,18718,18777
200,8.0,270.0,0.0,48612,48672
201,8.0,180.0,0.0,48702,48762
202,15.0,270.0,0.0,48793,48852
203,1.0,135.0,0.0,48883,48943
204,2.0,135.0,0.0,48973,49033
205,1.0,45.0,0.0,49064,49123
206,2.0,0.0,0.0,49154,49214
207,1.0,270.0,0.0,49244,49304
208,8.0,45.0,0.0,49335,49394
209,15.0,0.0,0.0,49425,49485
210,4.0,90.0,0.0,49515,49575
211,15.0,45.0,0.0,49606,49665
212,8.0,180.0,0.0,49696,49756
213,8.0,45.0,0.0,49786,49846
214,8.0,135.0,0.0,49876,49936
215,4.0,180.0,0.0,49967,50026
216,8.0,315.0,0.0,50057,50117
217,15.0,315.0,0.0,50147,50207
218,15.0,0.0,0.0,50238,50297
219,4.0,315.0,0.0,50328,50388
220,1.0,270.0,0.0,50418,50478
221,2.0,315.0,0.0,50509,50568
222,4.0,315.0,0.0,50599,50659
223,15.0,0.0,0.0,50689,50749
224,15.0,135.0,0.0,50780,50839
225,4.0,270.0,0.0,50870,50930
226,4.0,270.0,0.0,50960,51020
227,2.0,45.0,0.0,51051,51110
228,8.0,225.0,0.0,51141,51201
229,8.0,45.0,0.0,51231,51291
230,8.0,270.0,0.0,51321,51381
231,1.0,270.0,0.0,51412,51472
232,15.0,45.0,0.0,51502,51562
233,4.0,0.0,0.0,51592,51652
234,8.0,315.0,0.0,51683,51742
235,15.0,90.0,0.0,51773,51833
236,1.0,0.0,0.0,51863,51923
237,15.0,315.0,0.0,51954,52013
238,4.0,135.0,0.0,52044,52104
239,15.0,45.0,0.0,52134,52194
240,2.0,45.0,0.0,52225,52284
241,15.0,225.0,0.0,52315,52375
242,2.0,180.0,0.0,52405,52465
243,1.0,270.0,0.0,52496,52555
244,1.0,180.0,0.0,52586,52646
245,1.0,90.0,0.0,52676,52736
246,2.0,90.0,0.0,52767,52826
247,1.0,0.0,0.0,52857,52917
248,4.0,270.0,0.0,52947,53007
249,8.0,180.0,0.0,53037,53097
250,15.0,180.0,0.0,53128,53187
251,8.0,180.0,0.0,53218,53278
252,,,1.0,53308,53368
253,1.0,90.0,0.0,53399,53458
254,8.0,0.0,0.0,53489,53549
255,1.0,225.0,0.0,53579,53639
256,8.0,225.0,0.0,53670,53729
257,15.0,135.0,0.0,53760,53820
258,15.0,180.0,0.0,53850,53910
259,1.0,270.0,0.0,53941,54000
260,15.0,90.0,0.0,54031,54091
261,8.0,315.0,0.0,54121,54181
262,15.0,315.0,0.0,54212,54271
263,2.0,90.0,0.0,54302,54362
264,8.0,135.0,0.0,54392,54452
265,1.0,180.0,0.0,54482,54542
266,4.0,45.0,0.0,54573,54632
267,1.0,90.0,0.0,54663,54723
268,2.0,90.0,0.0,54753,54813
269,8.0,0.0,0.0,54844,54903
270,4.0,270.0,0.0,54934,54994
271,15.0,180.0,0.0,55024,55084
272,8.0,0.0,0.0,55115,55174
273,1.0,0.0,0.0,55205,55265
274,8.0,45.0,0.0,55295,55355
275,,,1.0,55386,55445
276,15.0,90.0,0.0,55476,55536
277,,,1.0,55566,55626
278,1.0,135.0,0.0,55657,55716
279,15.0,225.0,0.0,55747,55807
280,2.0,0.0,0.0,55837,55897
281,4.0,315.0,0.0,55927,55987
282,15.0,0.0,0.0,56018,56077
283,15.0,90.0,0.0,56108,56168
284,,,1.0,56198,56258
285,1.0,135.0,0.0,56289,56348
286,2.0,135.0,0.0,56379,56439
287,2.0,90.0,0.0,56469,56529
288,2.0,90.0,0.0,56560,56619
289,15.0,45.0,0.0,56650,56710
290,15.0,0.0,0.0,56740,56800
291,15.0,135.0,0.0,56831,56890
292,1.0,0.0,0.0,56921,56981
293,2.0,45.0,0.0,57011,57071
294,4.0,270.0,0.0,57102,57161
295,4.0,45.0,0.0,57192,57252
296,2.0,225.0,0.0,57282,57342
297,2.0,180.0,0.0,57372,57432
298,2.0,315.0,0.0,57463,57522
299,1.0,45.0,0.0,57553,57613
300,4.0,135.0,0.0,57643,57703
301,1.0,315.0,0.0,57734,57793
302,4.0,315.0,0.0,57824,57884
303,15.0,135.0,0.0,57914,57974
304,8.0,180.0,0.0,58005,58064
305,2.0,180.0,0.0,58095,58155
306,4.0,45.0,0.0,58185,58245
307,4.0,315.0,0.0,58276,58335
308,2.0,90.0,0.0,58366,58426
309,8.0,0.0,0.0,58456,58516
310,8.0,180.0,0.0,58547,58606
311,1.0,180.0,0.0,58637,58697
312,1.0,135.0,0.0,58727,58787
313,4.0,45.0,0.0,58817,58877
314,2.0,270.0,0.0,58908,58967
315,2.0,45.0,0.0,58998,59058
316,4.0,90.0,0.0,59088,59148
317,1.0,225.0,0.0,59179,59238
318,2.0,90.0,0.0,59269,59329
319,1.0,90.0,0.0,59359,59419
320,4.0,180.0,0.0,59450,59509
321,15.0,315.0,0.0,59540,59600
322,4.0,135.0,0.0,59630,59690
323,15.0,315.0,0.0,59721,59780
324,15.0,315.0,0.0,59811,59871
325,8.0,0.0,0.0,59901,59961
326,15.0,315.0,0.0,59992,60051
327,2.0,90.0,0.0,60082,60142
328,4.0,315.0,0.0,60172,60232
329,8.0,135.0,0.0,60262,60322
330,15.0,225.0,0.0,60353,60412
331,8.0,225.0,0.0,60443,60503
332,15.0,315.0,0.0,60533,60593
333,15.0,135.0,0.0,60624,60683
334,15.0,225.0,0.0,60714,60774
335,2.0,180.0,0.0,60804,60864
336,4.0,180.0,0.0,60895,60954
337,15.0,0.0,0.0,60985,61045
338,1.0,270.0,0.0,61075,61135
339,2.0,90.0,0.0,61166,61225
340,2.0,45.0,0.0,61256,61316
341,8.0,135.0,0.0,61346,61406
342,8.0,315.0,0.0,61437,61496
343,8.0,315.0,0.0,61527,61587
344,1.0,315.0,0.0,61617,61677
345,8.0,0.0,0.0,61707,61767
346,8.0,270.0,0.0,61798,61857
347,4.0,225.0,0.0,61888,61948
348,15.0,270.0,0.0,61978,62038
349,2.0,0.0,0.0,62069,62128
350,4.0,135.0,0.0,62159,62219
351,1.0,180.0,0.0,62249,62309
352,15.0,90.0,0.0,62340,62399
353,8.0,135.0,0.0,62430,62490
354,4.0,90.0,0.0,62520,62580
355,15.0,270.0,0.0,62611,62670
356,4.0,0.0,0.0,62701,62761
357,4.0,180.0,0.0,62791,62851
358,1.0,45.0,0.0,62882,62941
359,2.0,315.0,0.0,62972,63032
360,2.0,180.0,0.0,63062,63122
361,4.0,270.0,0.0,63152,63212
362,1.0,180.0,0.0,63243,63302
363,1.0,270.0,0.0,63333,63393
364,8.0,315.0,0.0,63423,63483
365,15.0,90.0,0.0,63514,63573
366,8.0,315.0,0.0,63604,63664
367,8.0,315.0,0.0,63694,63754
368,1.0,315.0,0.0,63785,63844
369,4.0,0.0,0.0,63875,63935
370,,,1.0,63965,64025
371,8.0,225.0,0.0,64056,64115
372,1.0,315.0,0.0,64146,64206
373,15.0,135.0,0.0,64236,64296
374,1.0,315.0,0.0,64327,64386
375,8.0,225.0,0.0,64417,64477
376,1.0,0.0,0.0,64507,64567
377,15.0,225.0,0.0,64597,64657
378,8.0,135.0,0.0,64688,64747
379,2.0,135.0,0.0,64778,64838
380,1.0,45.0,0.0,64868,64928
381,15.0,45.0,0.0,64959,65018
382,2.0,225.0,0.0,65049,65109
383,15.0,225.0,0.0,65139,65199
384,1.0,225.0,0.0,65230,65289
385,2.0,270.0,0.0,65320,65380
386,4.0,270.0,0.0,65410,65470
387,15.0,270.0,0.0,65501,65560
388,8.0,315.0,0.0,65591,65651
389,8.0,270.0,0.0,65681,65741
390,15.0,135.0,0.0,65772,65831
391,4.0,0.0,0.0,65862,65922
392,8.0,315.0,0.0,65952,66012
393,4.0,225.0,0.0,66042,66102
394,2.0,45.0,0.0,66133,66192
395,1.0,90.0,0.0,66223,66283
396,15.0,0.0,0.0,66313,66373
397,1.0,135.0,0.0,66404,66463
398,4.0,135.0,0.0,66494,66554
399,8.0,180.0,0.0,66584,66644
400,8.0,225.0,0.0,94671,94730
401,15.0,0.0,0.0,94761,94821
402,8.0,45.0,0.0,94851,94911
403,4.0,0.0,0.0,94942,95001
404,8.0,90.0,0.0,95032,95092
405,1.0,90.0,0.0,95122,95182
406,8.0,0.0,0.0,95213,95272
407,2.0,135.0,0.0,95303,95363
408,2.0,135.0,0.0,95393,95453
409,8.0,45.0,0.0,95483,95543
410,8.0,270.0,0.0,95574,95633
411,2.0,135.0,0.0,95664,95724
412,4.0,45.0,0.0,95754,95814
413,1.0,315.0,0.0,95845,95904
414,,,1.0,95935,95995
415,4.0,180.0,0.0,96025,96085
416,4.0,225.0,0.0,96116,96175
417,2.0,45.0,0.0,96206,96266
418,1.0,0.0,0.0,96296,96356
419,1.0,90.0,0.0,96387,96446
420,,,1.0,96477,96537
421,4.0,135.0,0.0,96567,96627
422,2.0,225.0,0.0,96657,96717
423,15.0,135.0,0.0,96748,96807
424,,,1.0,96838,96898
425,8.0,315.0,0.0,96928,96988
426,1.0,180.0,0.0,97019,97078
427,4.0,225.0,0.0,97109,97169
428,2.0,45.0,0.0,97199,97259
429,4.0,45.0,0.0,97290,97349
430,2.0,0.0,0.0,97380,97440
431,2.0,225.0,0.0,97470,97530
432,2.0,0.0,0.0,97561,97620
433,8.0,135.0,0.0,97651,97711
434,15.0,135.0,0.0,97741,97801
435,1.0,90.0,0.0,97831,97891
436,4.0,90.0,0.0,97922,97981
437,1.0,180.0,0.0,98012,98072
438,1.0,135.0,0.0,98102,98162
439,15.0,135.0,0.0,98193,98252
440,15.0,270.0,0.0,98283,98343
441,1.0,270.0,0.0,98373,98433
